id,total_len,nb_groups,len_groups,max_len_group,start_pos
logo_155,185,8,"[5, 53, 29, 22, 22, 22, 16, 16]",53,"[P(13.08829116821289, 7.839758396148682), P(19.617979049682617, 9.58101749420166), P(8.262554168701172, 14.441936492919922), P(5.149425029754639, 14.441964149475098), P(12.083873748779297, 14.441964149475098), P(16.161909103393555, 14.441964149475098), P(13.718910217285156, 14.44198989868164), P(18.642969131469727, 14.44198989868164)]"
logo_158,126,8,"[5, 16, 20, 17, 21, 17, 17, 13]",21,"[P(10.950549125671387, 10.290067672729492), P(15.501267433166504, 12.239633560180664), P(7.859272480010986, 12.258098602294922), P(4.380006313323975, 12.258152961730957), P(5.669279098510742, 12.258152961730957), P(12.48253345489502, 12.258152961730957), P(16.453216552734375, 12.258152961730957), P(18.78711700439453, 12.258152961730957)]"
logo_157,533,8,"[50, 337, 26, 20, 20, 20, 6, 54]",337,"[P(4.869057655334473, 10.477234840393066), P(5.8884453773498535, 11.025418281555176), P(11.820520401000977, 11.490789413452148), P(14.616727828979492, 11.493127822875977), P(17.806407928466797, 11.493127822875977), P(8.833639144897461, 11.493155479431152), P(16.983177185058594, 11.693318367004395), P(7.391293525695801, 12.883221626281738)]"
logo_16,106,8,"[6, 6, 21, 21, 13, 12, 16, 11]",21,"[P(5.904582977294922, 9.619003295898438), P(18.09514808654785, 9.619003295898438), P(6.5394439697265625, 11.137616157531738), P(13.804865837097168, 11.137616157531738), P(7.6683244705200195, 11.147561073303223), P(10.816288948059082, 11.147561073303223), P(15.300363540649414, 11.147561073303223), P(16.689693450927734, 11.147561073303223)]"
logo_159,179,8,"[53, 5, 20, 15, 21, 21, 21, 23]",53,"[P(11.180063247680664, 9.233749389648438), P(11.23989486694336, 10.558690071105957), P(10.321327209472656, 12.862082481384277), P(15.142090797424316, 12.864581108093262), P(4.683059215545654, 12.864608764648438), P(11.953863143920898, 12.864608764648438), P(16.415855407714844, 12.864608764648438), P(7.940471649169922, 12.867135047912598)]"
logo_160,181,8,"[53, 7, 20, 15, 21, 21, 21, 23]",53,"[P(10.541487693786621, 8.087361335754395), P(11.184632301330566, 10.424755096435547), P(18.536502838134766, 14.148587226867676), P(14.899514198303223, 14.150978088378906), P(5.211272239685059, 14.151005744934082), P(11.946257591247559, 14.151005744934082), P(16.07942008972168, 14.151005744934082), P(8.228607177734375, 14.15334415435791)]"
logo_161,130,8,"[5, 20, 24, 20, 17, 17, 17, 10]",24,"[P(11.702631950378418, 9.695639610290527), P(5.0319132804870605, 11.557958602905273), P(8.1808443069458, 11.557958602905273), P(16.59964942932129, 11.557958602905273), P(10.58973503112793, 11.574112892150879), P(14.085824966430664, 11.574112892150879), P(19.156503677368164, 11.574112892150879), P(15.463905334472656, 11.576800346374512)]"
logo_165,117,8,"[6, 21, 16, 19, 11, 6, 15, 23]",23,"[P(9.942749977111816, 8.190431594848633), P(12.863325119018555, 11.295121192932129), P(16.853113174438477, 11.8402099609375), P(15.404918670654297, 11.853111267089844), P(18.459348678588867, 11.891816139221191), P(4.395645618438721, 13.670877456665039), P(15.574251174926758, 14.516999244689941), P(16.98830795288086, 14.517000198364258)]"
logo_163,118,8,"[7, 7, 20, 14, 17, 11, 15, 27]",27,"[P(19.484479904174805, 7.802311420440674), P(12.093267440795898, 8.966939926147461), P(4.401558876037598, 11.618465423583984), P(9.056310653686523, 12.279666900634766), P(7.411369800567627, 12.2869234085083), P(10.770326614379883, 12.333422660827637), P(12.748555183410645, 15.398333549499512), P(13.488779067993164, 15.398333549499512)]"
logo_164,108,8,"[7, 7, 17, 14, 13, 15, 15, 20]",20,"[P(13.388792037963867, 6.0886969566345215), P(4.519016265869141, 7.486358642578125), P(10.273350715637207, 13.096626281738281), P(14.002689361572266, 13.775567054748535), P(16.49052619934082, 13.775567054748535), P(17.955385208129883, 13.820722579956055), P(15.615374565124512, 17.070016860961914), P(16.74129867553711, 17.07028579711914)]"
logo_162,122,8,"[9, 26, 20, 20, 20, 9, 6, 12]",26,"[P(6.4332685470581055, 11.499847412109375), P(11.757732391357422, 11.704070091247559), P(8.662585258483887, 11.706488609313965), P(14.44295883178711, 11.706488609313965), P(17.748348236083984, 11.706488609313965), P(4.878787517547607, 11.720331192016602), P(16.89528465270996, 11.913935661315918), P(12.523603439331055, 12.081978797912598)]"
logo_166,108,8,"[7, 7, 17, 14, 13, 15, 15, 20]",20,"[P(17.543657302856445, 4.277384281158447), P(6.4563446044921875, 6.024341583251953), P(6.619831562042236, 13.963663101196289), P(10.967872619628906, 14.770215034484863), P(13.840494155883789, 14.770416259765625), P(15.497945785522461, 14.824441909790039), P(12.721683502197266, 18.56167221069336), P(14.01809310913086, 18.56167221069336)]"
logo_168,76,8,"[5, 5, 5, 5, 17, 13, 15, 11]",17,"[P(6.820051193237305, 8.090041160583496), P(9.571562767028809, 8.090311050415039), P(5.813197135925293, 9.097164154052734), P(10.57841682434082, 9.097164154052734), P(9.502486228942871, 11.923129081726074), P(16.449132919311523, 12.841822624206543), P(13.516463279724121, 12.865743637084961), P(17.616451263427734, 12.884827613830566)]"
logo_167,98,8,"[5, 7, 7, 17, 13, 14, 15, 20]",20,"[P(4.380863189697266, 4.380863189697266), P(17.17376708984375, 5.523988723754883), P(6.825964450836182, 6.927026271820068), P(7.2248358726501465, 13.309501647949219), P(13.56484317779541, 13.996774673461914), P(11.036420822143555, 13.997044563293457), P(15.007390975952148, 14.04327392578125), P(13.7849760055542, 17.195270538330078)]"
logo_169,76,8,"[5, 5, 17, 5, 5, 13, 15, 11]",17,"[P(17.10146713256836, 8.63808536529541), P(14.212337493896484, 8.638086318969727), P(4.343233108520508, 11.525869369506836), P(16.212068557739258, 12.102136611938477), P(15.656497955322266, 12.251041412353516), P(11.330198287963867, 12.4241361618042), P(8.365273475646973, 12.447251319885254), P(12.569547653198242, 12.466066360473633)]"
logo_170,76,8,"[5, 5, 5, 17, 13, 15, 11, 5]",17,"[P(14.370112419128418, 8.68445110321045), P(16.070959091186523, 8.684720039367676), P(17.544147491455078, 9.53514289855957), P(4.384356498718262, 10.904582977294922), P(11.843838691711426, 11.90068531036377), P(8.700174331665039, 11.926488876342773), P(13.073243141174316, 11.947184562683105), P(16.114233016967773, 12.752452850341797)]"
logo_17,110,8,"[6, 20, 13, 13, 12, 20, 13, 13]",20,"[P(15.043139457702637, 9.712000846862793), P(4.38543176651001, 12.226716995239258), P(6.286520957946777, 12.226716995239258), P(8.623302459716797, 12.226716995239258), P(9.508668899536133, 12.226716995239258), P(11.918023109436035, 12.226716995239258), P(14.269587516784668, 12.226716995239258), P(15.720736503601074, 12.226716995239258)]"
logo_172,92,8,"[17, 13, 15, 15, 5, 4, 3, 20]",20,"[P(6.662008285522461, 8.414191246032715), P(9.67961311340332, 8.414191246032715), P(12.487837791442871, 8.414191246032715), P(15.60677433013916, 8.414191246032715), P(6.2687811851501465, 11.872597694396973), P(19.04851531982422, 11.882004737854004), P(8.166913986206055, 11.908345222473145), P(14.03198528289795, 14.668457984924316)]"
logo_171,110,8,"[10, 17, 11, 11, 20, 10, 11, 20]",20,"[P(6.406665802001953, 7.696009159088135), P(9.521032333374023, 8.90149211883545), P(15.180217742919922, 9.901357650756836), P(17.809703826904297, 9.901357650756836), P(13.380459785461426, 9.901626586914062), P(9.125655174255371, 13.483134269714355), P(16.654481887817383, 13.606505393981934), P(17.43260383605957, 13.606505393981934)]"
logo_174,112,8,"[5, 25, 17, 15, 13, 16, 5, 16]",25,"[P(3.9999990463256836, 9.279946327209473), P(11.95442008972168, 12.836223602294922), P(11.049899101257324, 12.879685401916504), P(13.217081069946289, 12.88250732421875), P(9.273595809936523, 12.882789611816406), P(10.080185890197754, 12.882789611816406), P(10.563348770141602, 12.882789611816406), P(13.691495895385742, 12.882789611816406)]"
logo_173,114,8,"[5, 25, 17, 15, 13, 16, 16, 7]",25,"[P(3.9999990463256836, 9.279946327209473), P(11.95442008972168, 12.836223602294922), P(11.049899101257324, 12.879685401916504), P(13.217081069946289, 12.88250732421875), P(9.273595809936523, 12.882789611816406), P(10.080185890197754, 12.882789611816406), P(13.691495895385742, 12.882789611816406), P(14.53562068939209, 12.882789611816406)]"
logo_175,500,8,"[5, 78, 56, 116, 116, 91, 25, 13]",116,"[P(3.9999990463256836, 9.59998607635498), P(14.37503719329834, 10.405729293823242), P(6.27611780166626, 10.615138053894043), P(8.75007438659668, 10.620781898498535), P(9.431076049804688, 10.620781898498535), P(17.419645309448242, 11.459545135498047), P(9.799656867980957, 12.860776901245117), P(10.721675872802734, 12.867549896240234)]"
logo_177,110,8,"[5, 9, 15, 16, 16, 14, 20, 15]",20,"[P(3.9999990463256836, 9.59998607635498), P(5.759369850158691, 10.62445068359375), P(12.041346549987793, 11.07713508605957), P(8.66935920715332, 11.090117454528809), P(9.649515151977539, 11.090117454528809), P(18.20901870727539, 11.11495304107666), P(15.979186058044434, 11.168575286865234), P(15.110224723815918, 11.20215892791748)]"
logo_176,289,8,"[5, 55, 72, 30, 30, 31, 30, 36]",72,"[P(3.9999990463256836, 9.279946327209473), P(6.502178192138672, 10.409398078918457), P(15.702042579650879, 10.517206192016602), P(10.131548881530762, 10.912599563598633), P(10.53117561340332, 10.912599563598633), P(18.24514389038086, 11.697739601135254), P(11.36711597442627, 11.709311485290527), P(17.664615631103516, 11.366976737976074)]"
logo_179,122,8,"[16, 16, 20, 19, 8, 19, 16, 8]",20,"[P(11.471038818359375, 10.586883544921875), P(12.267168045043945, 10.586883544921875), P(7.423733711242676, 10.587152481079102), P(9.299287796020508, 10.587152481079102), P(19.617794036865234, 10.612686157226562), P(4.381669521331787, 10.627737998962402), P(8.501276969909668, 10.924203872680664), P(16.118534088134766, 11.527348518371582)]"
logo_178,104,8,"[14, 14, 13, 13, 23, 11, 10, 6]",23,"[P(8.202392578125, 10.348474502563477), P(10.9267578125, 10.348474502563477), P(13.916409492492676, 10.348474502563477), P(15.02647590637207, 10.348474502563477), P(4.379249572753906, 10.531246185302734), P(10.2136812210083, 10.792770385742188), P(16.520360946655273, 10.792770385742188), P(19.620481491088867, 11.751511573791504)]"
logo_18,111,8,"[6, 15, 20, 13, 13, 20, 13, 11]",20,"[P(16.955249786376953, 10.087891578674316), P(8.753124237060547, 12.005375862121582), P(4.377906322479248, 12.020696640014648), P(6.321731090545654, 12.020696640014648), P(9.96989631652832, 12.020696640014648), P(12.49079418182373, 12.020696640014648), P(14.91143798828125, 12.020696640014648), P(16.296733856201172, 12.020696640014648)]"
logo_180,130,8,"[21, 18, 16, 15, 15, 23, 15, 7]",23,"[P(15.758366584777832, 10.580835342407227), P(7.714554786682129, 10.59158706665039), P(9.998119354248047, 10.59158706665039), P(12.573579788208008, 10.59158706665039), P(13.533933639526367, 10.59158706665039), P(4.381669521331787, 10.677597045898438), P(11.20010757446289, 10.942346572875977), P(19.618331909179688, 11.92447280883789)]"
logo_181,128,8,"[21, 18, 17, 17, 23, 21, 5, 6]",23,"[P(7.905389308929443, 10.649240493774414), P(10.197823524475098, 10.649240493774414), P(12.726784706115723, 10.649240493774414), P(13.682838439941406, 10.649240493774414), P(5.670743465423584, 10.73820686340332), P(11.235586166381836, 11.0112886428833), P(19.61859893798828, 11.304529190063477), P(15.599784851074219, 12.570219039916992)]"
logo_182,114,8,"[17, 17, 14, 14, 14, 10, 19, 9]",19,"[P(4.815481662750244, 10.671684265136719), P(8.913586616516113, 10.671684265136719), P(11.740626335144043, 10.671684265136719), P(15.004973411560059, 10.671684265136719), P(16.19782257080078, 10.671684265136719), P(17.73390769958496, 11.08614444732666), P(13.226180076599121, 11.086413383483887), P(9.002822875976562, 12.572504043579102)]"
logo_183,134,8,"[19, 19, 16, 16, 20, 19, 16, 9]",20,"[P(18.021236419677734, 9.526677131652832), P(10.352373123168945, 11.747076988220215), P(13.028088569641113, 11.747076988220215), P(14.007795333862305, 11.747076988220215), P(8.036286354064941, 11.747345924377441), P(4.30426025390625, 11.79653263092041), P(9.370514869689941, 12.156431198120117), P(12.907942771911621, 13.711329460144043)]"
logo_185,114,8,"[17, 17, 14, 14, 14, 19, 10, 9]",19,"[P(7.301438331604004, 11.62088394165039), P(10.319043159484863, 11.62088394165039), P(12.33328914642334, 11.62088394165039), P(14.692649841308594, 11.62088394165039), P(15.561887741088867, 11.62088394165039), P(13.433140754699707, 11.948259353637695), P(16.702056884765625, 11.948259353637695), P(19.619138717651367, 13.206154823303223)]"
logo_184,108,8,"[9, 17, 17, 14, 14, 14, 14, 9]",17,"[P(5.5237202644348145, 10.552345275878906), P(8.45020866394043, 11.420507431030273), P(10.181696891784668, 11.42050838470459), P(12.01612663269043, 11.42050838470459), P(14.173364639282227, 11.42050838470459), P(14.969493865966797, 11.42050838470459), P(11.608386039733887, 11.726112365722656), P(19.619138717651367, 12.837790489196777)]"
logo_186,125,8,"[20, 19, 16, 16, 19, 16, 10, 9]",20,"[P(11.383417129516602, 11.176186561584473), P(13.68122673034668, 11.176186561584473), P(16.31850814819336, 11.176454544067383), P(17.28020477294922, 11.176454544067383), P(7.751914978027344, 11.222684860229492), P(12.718183517456055, 11.561617851257324), P(18.410160064697266, 11.56188678741455), P(10.052949905395508, 13.111679077148438)]"
logo_188,96,8,"[15, 14, 14, 11, 11, 11, 11, 9]",15,"[P(5.619675159454346, 11.401558876037598), P(10.336782455444336, 11.69426155090332), P(11.485822677612305, 11.696681022644043), P(6.062356948852539, 11.718451499938965), P(8.411235809326172, 11.718451499938965), P(7.484746932983398, 11.776508331298828), P(10.010214805603027, 11.88052749633789), P(17.712135314941406, 13.333288192749023)]"
logo_189,119,8,"[14, 14, 16, 16, 25, 15, 10, 9]",25,"[P(8.176857948303223, 11.444429397583008), P(10.520092010498047, 11.444429397583008), P(13.148233413696289, 11.447117805480957), P(14.140573501586914, 11.447117805480957), P(5.189624786376953, 11.447654724121094), P(11.78228759765625, 11.696008682250977), P(15.426153182983398, 11.696008682250977), P(13.24795150756836, 13.231554985046387)]"
logo_187,92,8,"[7, 15, 14, 14, 11, 11, 11, 9]",15,"[P(18.473861694335938, 10.073512077331543), P(5.619675159454346, 11.537562370300293), P(10.336782455444336, 11.830265045166016), P(11.485822677612305, 11.832683563232422), P(6.062356948852539, 11.85445499420166), P(7.484746932983398, 11.912511825561523), P(10.010214805603027, 12.01653003692627), P(17.712135314941406, 13.316892623901367)]"
logo_2,196,8,"[14, 14, 19, 41, 41, 25, 15, 27]",41,"[P(12.599828720092773, 4.427239418029785), P(13.363564491271973, 6.671985149383545), P(9.472164154052734, 9.459031105041504), P(12.01910400390625, 9.488121032714844), P(15.979972839355469, 9.488121032714844), P(14.575379371643066, 9.492679595947266), P(12.951955795288086, 9.497673034667969), P(15.59788990020752, 16.759014129638672)]"
logo_19,112,8,"[13, 10, 24, 13, 12, 24, 11, 5]",24,"[P(9.296600341796875, 10.379518508911133), P(16.122295379638672, 10.413654327392578), P(4.3803253173828125, 10.413923263549805), P(6.520359992980957, 10.413923263549805), P(10.476818084716797, 10.413923263549805), P(13.473458290100098, 10.413923263549805), P(17.890605926513672, 10.413923263549805), P(4.3814005851745605, 13.163284301757812)]"
logo_190,110,8,"[9, 16, 16, 17, 17, 11, 15, 9]",17,"[P(12.00080680847168, 8.762128829956055), P(15.671819686889648, 12.420239448547363), P(17.05819320678711, 12.420239448547363), P(13.009275436401367, 12.425345420837402), P(11.336648941040039, 12.436098098754883), P(7.81911039352417, 12.569682121276855), P(5.536352634429932, 12.591721534729004), P(10.202392578125, 14.323747634887695)]"
logo_191,168,8,"[9, 27, 24, 28, 23, 23, 25, 9]",28,"[P(12.004570007324219, 8.571697235107422), P(12.245667457580566, 12.334094047546387), P(5.5135064125061035, 12.33651351928711), P(13.339065551757812, 12.355865478515625), P(15.424271583557129, 12.406664848327637), P(16.682167053222656, 12.406664848327637), P(11.261120796203613, 12.520359992980957), P(10.206155776977539, 14.66684627532959)]"
logo_20,110,8,"[13, 24, 13, 12, 24, 8, 11, 5]",24,"[P(9.297406196594238, 10.685391426086426), P(4.381131172180176, 10.719795227050781), P(6.521166801452637, 10.719795227050781), P(10.47762393951416, 10.719795227050781), P(13.474264144897461, 10.719795227050781), P(16.12310218811035, 10.719795227050781), P(17.891414642333984, 10.719795227050781), P(16.162343978881836, 12.705281257629395)]"
logo_21,102,8,"[13, 24, 5, 12, 24, 8, 11, 5]",24,"[P(9.297406196594238, 10.685391426086426), P(4.381131172180176, 10.719795227050781), P(6.521166801452637, 10.719795227050781), P(10.47762393951416, 10.719795227050781), P(13.474264144897461, 10.719795227050781), P(16.12310218811035, 10.719795227050781), P(17.891414642333984, 10.719795227050781), P(6.521166801452637, 12.553420066833496)]"
logo_22,129,8,"[15, 15, 27, 13, 12, 27, 15, 5]",27,"[P(11.463244438171387, 11.009138107299805), P(16.886171340942383, 11.04434871673584), P(7.285311698913574, 11.049993515014648), P(9.11409854888916, 11.049993515014648), P(12.38731575012207, 11.049993515014648), P(14.690230369567871, 11.049993515014648), P(18.24862289428711, 11.049993515014648), P(4.3803253173828125, 11.052412033081055)]"
logo_23,129,8,"[15, 15, 27, 13, 12, 27, 15, 5]",27,"[P(11.463244438171387, 11.009138107299805), P(16.886171340942383, 11.04434871673584), P(7.285311698913574, 11.049993515014648), P(9.11409854888916, 11.049993515014648), P(12.38731575012207, 11.049993515014648), P(14.690230369567871, 11.049993515014648), P(18.24862289428711, 11.049993515014648), P(4.3803253173828125, 11.052412033081055)]"
logo_26,84,8,"[5, 5, 5, 20, 13, 12, 13, 11]",20,"[P(7.466738224029541, 7.047573566436768), P(4.380863189697266, 9.409622192382812), P(7.466738224029541, 9.409622192382812), P(12.766026496887207, 11.689691543579102), P(14.768983840942383, 11.689691543579102), P(18.19432830810547, 11.689691543579102), P(11.510549545288086, 14.704609870910645), P(18.192447662353516, 14.704609870910645)]"
logo_24,84,8,"[5, 5, 5, 20, 13, 12, 11, 13]",20,"[P(5.678269386291504, 10.018948554992676), P(4.38328218460083, 11.69533634185791), P(5.678269386291504, 11.69533634185791), P(8.717914581298828, 11.69909954071045), P(9.773418426513672, 11.69909954071045), P(11.5645751953125, 11.69909954071045), P(18.833221435546875, 11.69909954071045), P(15.202795028686523, 11.699368476867676)]"
logo_25,93,8,"[5, 21, 12, 5, 5, 14, 16, 15]",21,"[P(6.895578861236572, 9.599919319152832), P(11.459750175476074, 10.956457138061523), P(14.94503402709961, 10.964789390563965), P(4.381937503814697, 10.971240997314453), P(6.896116256713867, 10.971508979797363), P(11.342024803161621, 12.97365951538086), P(13.704071998596191, 12.98414134979248), P(18.416610717773438, 12.984411239624023)]"
logo_27,148,8,"[21, 21, 21, 12, 23, 16, 16, 18]",23,"[P(8.825427055358887, 11.39295768737793), P(11.08829402923584, 11.779733657836914), P(16.100793838500977, 11.779733657836914), P(10.43220043182373, 11.78188419342041), P(14.265286445617676, 11.78188419342041), P(17.77288055419922, 11.78188419342041), P(19.246604919433594, 11.78188419342041), P(12.387313842773438, 11.802311897277832)]"
logo_28,39,8,"[4, 5, 5, 5, 5, 5, 5, 5]",5,"[P(3.061415672302246, 9.358016014099121), P(3.198763847351074, 9.552345275878906), P(3.242036819458008, 9.6085205078125), P(3.3027820587158203, 9.67920970916748), P(3.2742910385131836, 9.697486877441406), P(3.318370819091797, 9.745060920715332), P(3.3629884719848633, 9.849079132080078), P(3.427764892578125, 9.96841812133789)]"
logo_3,196,8,"[14, 14, 19, 41, 41, 25, 15, 27]",41,"[P(12.599828720092773, 4.4595866203308105), P(13.363564491271973, 6.70433235168457), P(9.472164154052734, 9.491595268249512), P(12.01910400390625, 9.520467758178711), P(15.979972839355469, 9.520467758178711), P(14.575379371643066, 9.525243759155273), P(12.951955795288086, 9.530019760131836), P(15.59788990020752, 16.791576385498047)]"
logo_29,138,8,"[20, 11, 22, 22, 21, 14, 14, 14]",22,"[P(4.4432196617126465, 11.961564064025879), P(6.635667324066162, 12.397258758544922), P(7.539577960968018, 12.397258758544922), P(12.385164260864258, 12.397258758544922), P(10.463916778564453, 12.397527694702148), P(13.901357650756836, 12.397527694702148), P(15.309233665466309, 12.397527694702148), P(8.436500549316406, 12.411503791809082)]"
logo_30,201,8,"[9, 19, 66, 25, 25, 25, 16, 16]",66,"[P(16.947723388671875, 11.01505184173584), P(4.546431541442871, 11.076602935791016), P(18.20024299621582, 11.094880104064941), P(7.220804214477539, 11.610133171081543), P(12.428706169128418, 11.610133171081543), P(10.193791389465332, 11.61040210723877), P(13.955113410949707, 11.61040210723877), P(15.416476249694824, 11.61040210723877)]"
logo_31,152,8,"[9, 19, 17, 25, 16, 16, 25, 25]",25,"[P(4.777046203613281, 11.047574043273926), P(8.598575592041016, 11.182501792907715), P(12.338665008544922, 11.67007064819336), P(14.111278533935547, 11.67007064819336), P(17.697086334228516, 11.67007064819336), P(19.13721466064453, 11.67007064819336), P(11.206021308898926, 11.670608520507812), P(16.226852416992188, 11.670608520507812)]"
logo_32,148,8,"[21, 21, 21, 23, 16, 16, 12, 18]",23,"[P(5.0154547691345215, 13.203198432922363), P(8.126596450805664, 13.718989372253418), P(14.936433792114258, 13.718989372253418), P(12.3948392868042, 13.718990325927734), P(17.157642364501953, 13.718990325927734), P(19.168121337890625, 13.718990325927734), P(7.189087390899658, 13.721677780151367), P(9.83873176574707, 13.749093055725098)]"
logo_33,157,8,"[9, 27, 16, 16, 16, 25, 25, 23]",27,"[P(5.5237202644348145, 7.047573566436768), P(5.533127784729004, 13.574653625488281), P(10.402365684509277, 14.049858093261719), P(15.951083183288574, 14.049858093261719), P(17.619945526123047, 14.049858093261719), P(9.029969215393066, 14.055502891540527), P(14.63459300994873, 14.055502891540527), P(11.993012428283691, 14.06087875366211)]"
logo_34,126,8,"[14, 10, 19, 22, 19, 14, 14, 14]",22,"[P(6.5757293701171875, 12.802848815917969), P(9.096357345581055, 13.408681869506836), P(9.956457138061523, 13.408681869506836), P(13.467813491821289, 13.408681869506836), P(15.672892570495605, 13.408681869506836), P(17.53742790222168, 13.408681869506836), P(19.240962982177734, 13.408681869506836), P(11.806208610534668, 13.440936088562012)]"
logo_35,202,8,"[9, 66, 19, 17, 25, 16, 25, 25]",66,"[P(4.8531107902526855, 10.255879402160645), P(18.17739486694336, 10.658514022827148), P(5.2471442222595215, 11.836043357849121), P(9.220266342163086, 12.369842529296875), P(11.120817184448242, 12.369842529296875), P(14.964387893676758, 12.369842529296875), P(8.020696640014648, 12.369843482971191), P(13.395779609680176, 12.369843482971191)]"
logo_36,114,8,"[15, 15, 15, 10, 14, 16, 18, 11]",18,"[P(13.274101257324219, 13.011512756347656), P(14.469165802001953, 13.011512756347656), P(17.277816772460938, 13.011512756347656), P(6.205770969390869, 13.014522552490234), P(10.245692253112793, 13.014522552490234), P(11.844120025634766, 13.014549255371094), P(7.777184963226318, 13.01455020904541), P(15.266887664794922, 13.044599533081055)]"
logo_37,165,8,"[10, 17, 19, 25, 23, 23, 23, 25]",25,"[P(6.484767913818359, 13.213582992553711), P(17.0074462890625, 13.213582992553711), P(11.024518966674805, 13.213583946228027), P(12.693581581115723, 13.213583946228027), P(14.295585632324219, 13.213610649108887), P(15.814157485961914, 13.213610649108887), P(19.077106475830078, 13.213610649108887), P(8.355554580688477, 13.213637351989746)]"
logo_4,87,8,"[5, 5, 23, 16, 23, 5, 5, 5]",23,"[P(8.190566062927246, 7.4285712242126465), P(9.142857551574707, 10.095417022705078), P(12.456390380859375, 10.88563346862793), P(15.566994667053223, 10.88563346862793), P(17.410024642944336, 10.88563346862793), P(19.047441482543945, 12.0), P(15.428302764892578, 13.142857551574707), P(6.857142925262451, 14.66684627532959)]"
logo_39,121,8,"[5, 9, 16, 28, 21, 22, 10, 10]",28,"[P(5.777449607849121, 10.603279113769531), P(5.7777180671691895, 10.82663631439209), P(5.912646293640137, 11.155355453491211), P(8.141379356384277, 11.358284950256348), P(17.706222534179688, 11.358284950256348), P(10.116381645202637, 11.452627182006836), P(9.0718994140625, 11.762531280517578), P(11.190969467163086, 11.762531280517578)]"
logo_38,114,8,"[5, 17, 24, 17, 10, 10, 17, 14]",24,"[P(10.17497730255127, 9.11355972290039), P(11.2057523727417, 9.909688949584961), P(6.761188507080078, 10.027684211730957), P(13.65031623840332, 10.049186706542969), P(12.224164009094238, 10.505577087402344), P(14.880258560180664, 10.505577087402344), P(17.295793533325195, 12.35075855255127), P(19.10576629638672, 12.928369522094727)]"
